,'type','capacity - fuel','ramping rate','efficiency - total','efficiency - condensing','Cb','Cv','VOM_h','VOM_e','placeholder'
AMV3,EX,595,0.25,-,0.34,0.643,0.11,-,3.28,
AVV1,EX,624,0.25,-,0.34,0.613,0.116,-,1.17,
AVV2,EX,1168,0.25,-,0.36,0.794,0.146,-,1.17,
AMV1,BP,362,0.25,0.92,-,0.278,-,-,1.98,
AMV4,BP,500,0.25,1.13,-,0.361,-,-,4.89,
ARC,BP,224,0.25,0.99,-,0.269,-,-,29.01,
ARGO5,BP,65,0.25,0.8,-,0.27,-,-,26.88,
ARGO6,BP,73,0.25,0.99,-,0.286,-,-,26.88,
HCV7,BP,200,0.25,0.89,-,0.413,-,-,3.28,
HCV8,BP,121,1,0.89,-,0.29,-,-,4.79,
KKV7,BP,47,0.25,0.9,-,0.25,-,-,4.77,
KKV8,BP,56,0.25,0.9,-,0.385,-,-,4.77,
VF5,BP,85,0.25,0.99,-,0.138,-,-,26.88,
VF6,BP,112,0.25,0.99,-,0.222,-,-,26.88,
HOB_BG,HO,13,1,1.03,-,-,-,1.17,-,
HOB_EL,HO,120,1,0.99,-,-,-,0.957,-,
HOB_FO,HO,20,1,1.03,-,-,-,1.17,-,
HOB_GO,HO,851,1,1.03,-,-,-,1.17,-,
HOB_NG,HO,1154,1,1.03,-,-,-,1.17,-,
HOB_WP,HO,33,1,1.01,-,-,-,2.084,-,
HOB_WW,HO,14,1,1.01,-,-,-,2.084,-,
DEH,HO,8,1,1,-,-,-,0.001,-,
HP_AIR,HO,7,1,timeVar,-,-,-,2.33,-,
